"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","NL_NAME_2","VARNAME_2","TYPE_2","ENGTYPE_2"
24441,158,"NLD","Netherlands",4,"Gelderland",76,"Groesbeek"," "," ","Gemeente","Municipality"
24442,158,"NLD","Netherlands",4,"Gelderland",77,"Harderwijk"," "," ","Gemeente","Municipality"
24443,158,"NLD","Netherlands",4,"Gelderland",78,"Hattem"," "," ","Gemeente","Municipality"
24444,158,"NLD","Netherlands",4,"Gelderland",79,"Heerde"," "," ","Gemeente","Municipality"
24445,158,"NLD","Netherlands",4,"Gelderland",80,"Hengelo"," "," ","Gemeente","Municipality"
24446,158,"NLD","Netherlands",4,"Gelderland",81,"Heumen"," "," ","Gemeente","Municipality"
24447,158,"NLD","Netherlands",4,"Gelderland",82,"Hummelo en Keppel"," "," ","Gemeente","Municipality"
24448,158,"NLD","Netherlands",4,"Gelderland",83,"Kesteren"," ","Neder-Betuwe","Gemeente","Municipality"
24449,158,"NLD","Netherlands",4,"Gelderland",84,"Lichtenvoorde"," "," ","Gemeente","Municipality"
24450,158,"NLD","Netherlands",4,"Gelderland",85,"Lingewaal"," "," ","Gemeente","Municipality"
24451,158,"NLD","Netherlands",4,"Gelderland",86,"Lingewaard"," ","Bemmel","Gemeente","Municipality"
24452,158,"NLD","Netherlands",4,"Gelderland",87,"Lochem"," "," ","Gemeente","Municipality"
24453,158,"NLD","Netherlands",4,"Gelderland",88,"Maasdriel"," "," ","Gemeente","Municipality"
24454,158,"NLD","Netherlands",4,"Gelderland",89,"Millingen aan de Rijn"," "," ","Gemeente","Municipality"
24455,158,"NLD","Netherlands",4,"Gelderland",90,"Neede"," "," ","Gemeente","Municipality"
24456,158,"NLD","Netherlands",4,"Gelderland",91,"Neerijnen"," "," ","Gemeente","Municipality"
24457,158,"NLD","Netherlands",4,"Gelderland",92,"Nijkerk"," "," ","Gemeente","Municipality"
24458,158,"NLD","Netherlands",4,"Gelderland",93,"Nijmegen"," "," ","Gemeente","Municipality"
24459,158,"NLD","Netherlands",4,"Gelderland",94,"Nunspeet"," "," ","Gemeente","Municipality"
24460,158,"NLD","Netherlands",4,"Gelderland",95,"Oldebroek"," "," ","Gemeente","Municipality"
24461,158,"NLD","Netherlands",4,"Gelderland",96,"Overbetuwe"," "," ","Gemeente","Municipality"
24462,158,"NLD","Netherlands",4,"Gelderland",97,"Putten"," "," ","Gemeente","Municipality"
24463,158,"NLD","Netherlands",4,"Gelderland",98,"Renkum"," "," ","Gemeente","Municipality"
24464,158,"NLD","Netherlands",4,"Gelderland",99,"Rheden"," "," ","Gemeente","Municipality"
24465,158,"NLD","Netherlands",4,"Gelderland",100,"Rijnwaarden"," "," ","Gemeente","Municipality"
24466,158,"NLD","Netherlands",4,"Gelderland",101,"Rozendaal"," "," ","Gemeente","Municipality"
24467,158,"NLD","Netherlands",4,"Gelderland",102,"Ruurlo"," "," ","Gemeente","Municipality"
24468,158,"NLD","Netherlands",4,"Gelderland",103,"Scherpenzeel"," "," ","Gemeente","Municipality"
24469,158,"NLD","Netherlands",4,"Gelderland",104,"Steenderen"," "," ","Gemeente","Municipality"
24470,158,"NLD","Netherlands",4,"Gelderland",105,"Tiel"," "," ","Gemeente","Municipality"
24471,158,"NLD","Netherlands",4,"Gelderland",106,"Ubbergen"," "," ","Gemeente","Municipality"
